1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,is_pc,is_mobile,is_tablet,is_touch_capable,is_bot,browser,browser_version,os,os_version,device,target_user
158,215,134,200,122,167,603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
180,243,147,211,121,169,305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
190,189,133,201,121,150,334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
210,175,187,316,123,219,339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
191,172,135,240,124,173,345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
181,200,183,251,126,170,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
267,214,175,197,126,199,205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
234,504,122,772,314,142,166,555,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
207,190,111,233,125,213,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
217,216,257,235,117,184,504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
311,233,147,229,140,225,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
200,191,172,250,120,206,250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
166,193,141,241,116,169,269,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
152,198,130,212,125,192,437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
173,178,122,192,115,176,244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
178,252,145,153,1911,363,115,159,354,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
